0.00000	[-inf]
0.00002	[-inf]
0.00005	[-inf]
0.00007	[-inf]
0.00009	[-inf]
0.00011	[-inf]
0.00014	-90.30900
0.00016	[-inf]
0.00018	-90.30900
0.00020	[-inf]
0.00023	[-inf]
0.00025	[-inf]
0.00027	[-inf]
0.00029	[-inf]
0.00032	-90.30900
0.00034	[-inf]
0.00036	-90.30900
0.00039	[-inf]
0.00041	[-inf]
0.00043	[-inf]
0.00045	-90.30900
0.00048	[-inf]
0.00050	[-inf]
0.00052	[-inf]
0.00054	[-inf]
0.00057	[-inf]
0.00059	[-inf]
0.00061	[-inf]
0.00063	[-inf]
0.00066	[-inf]
0.00068	[-inf]
0.00070	[-inf]
0.00073	[-inf]
0.00075	[-inf]
0.00077	[-inf]
0.00079	-90.30900
0.00082	[-inf]
0.00084	-90.30900
0.00086	[-inf]
0.00088	-90.30900
0.00091	-90.30900
0.00093	-90.30900
0.00095	[-inf]
0.00098	[-inf]
0.00100	[-inf]
0.00102	[-inf]
0.00104	[-inf]
0.00107	[-inf]
0.00109	[-inf]
0.00111	-90.30900
0.00113	[-inf]
0.00116	[-inf]
0.00118	-90.30900
0.00120	-90.30900
0.00122	[-inf]
0.00125	-90.30900
0.00127	[-inf]
0.00129	[-inf]
0.00132	[-inf]
0.00134	[-inf]
0.00136	[-inf]
0.00138	[-inf]
0.00141	[-inf]
0.00143	-90.30900
0.00145	[-inf]
0.00147	[-inf]
0.00150	[-inf]
0.00152	[-inf]
0.00154	[-inf]
0.00156	[-inf]
0.00159	[-inf]
0.00161	[-inf]
0.00163	[-inf]
0.00166	[-inf]
0.00168	[-inf]
0.00170	[-inf]
0.00172	[-inf]
0.00175	[-inf]
0.00177	[-inf]
0.00179	[-inf]
0.00181	[-inf]
0.00184	[-inf]
0.00186	[-inf]
0.00188	[-inf]
0.00190	[-inf]
0.00193	[-inf]
0.00195	-90.30900
0.00197	[-inf]
0.00200	-90.30900
0.00202	[-inf]
0.00204	[-inf]
0.00206	[-inf]
0.00209	-90.30900
0.00211	[-inf]
0.00213	[-inf]
0.00215	-90.30900
0.00218	-90.30900
0.00220	[-inf]
0.00222	-90.30900
0.00224	[-inf]
